"Date","Price","Open","High","Low","Vol.","Change %"
"02/24/2023","317.15","319.30","321.50","314.52","6.83M","-2.01%"
"02/23/2023","323.65","331.23","331.28","314.30","13.24M","-3.35%"
"02/22/2023","334.88","337.50","341.91","332.82","4.55M","-0.78%"
"02/21/2023","337.50","342.85","344.13","336.42","5.71M","-3.01%"
"02/17/2023","347.96","347.90","349.00","342.44","5.29M","-0.78%"
"02/16/2023","350.71","355.00","361.50","350.31","5.22M","-2.96%"
"02/15/2023","361.42","356.63","362.88","354.24","3.97M","0.41%"
"02/14/2023","359.96","357.55","363.75","353.40","4.62M","0.39%"
"02/13/2023","358.57","349.50","359.70","344.25","7.13M","3.23%"
"02/10/2023","347.36","359.16","362.14","347.14","7.29M","-4.18%"
"02/09/2023","362.50","372.41","373.83","361.74","6.90M","-1.18%"
"02/08/2023","366.83","360.02","368.19","358.31","6.25M","1.07%"
"02/07/2023","362.95","358.51","364.18","354.18","6.29M","0.41%"
"02/06/2023","361.48","363.64","368.45","360.68","4.99M","-1.21%"
"02/03/2023","365.90","359.08","379.43","359.00","9.40M","-0.27%"
"02/02/2023","366.89","365.16","368.32","358.43","7.86M","1.35%"
"02/01/2023","361.99","353.86","365.39","349.91","8.01M","2.30%"
"01/31/2023","353.86","349.98","355.95","348.71","5.66M","0.21%"
"01/30/2023","353.11","358.44","360.95","352.86","5.13M","-2.12%"
"01/27/2023","360.77","363.20","365.92","360.59","6.70M","-1.12%"
"01/26/2023","364.87","368.77","369.02","361.70","8.26M","-0.84%"
"01/25/2023","367.96","360.57","368.90","358.50","7.77M","1.14%"
"01/24/2023","363.83","357.53","365.65","355.14","11.80M","1.79%"
"01/23/2023","357.42","341.71","362.25","340.63","15.65M","4.36%"
"01/20/2023","342.50","336.79","344.00","332.63","28.43M","8.46%"
"01/19/2023","315.78","322.57","324.89","313.39","18.01M","-3.23%"
"01/18/2023","326.33","326.75","330.08","321.25","7.81M","0.03%"
"01/17/2023","326.22","331.08","332.50","323.60","9.25M","-1.98%"
"01/13/2023","332.82","329.97","336.65","328.89","8.29M","0.81%"
"01/12/2023","330.13","332.50","332.95","323.14","10.86M","0.88%"
"01/11/2023","327.26","326.50","328.88","321.35","9.58M","-0.09%"
"01/10/2023","327.54","311.07","329.35","311.07","13.07M","3.92%"
"01/09/2023","315.17","316.83","321.70","313.22","6.77M","-0.12%"
"01/06/2023","315.55","311.57","316.77","303.69","8.96M","1.89%"
"01/05/2023","309.70","307.00","314.18","304.55","8.33M","0.09%"
"01/04/2023","309.41","298.24","311.14","295.51","9.35M","4.90%"
"01/03/2023","294.95","298.06","298.39","288.70","6.76M","0.02%"
"12/30/2022","294.88","285.53","295.01","283.22","7.57M","1.29%"
"12/29/2022","291.12","283.18","295.50","281.01","9.59M","5.14%"
"12/28/2022","276.88","281.92","285.19","273.41","5.96M","-2.57%"
"12/27/2022","284.17","293.19","293.57","282.13","5.78M","-3.66%"
"12/23/2022","294.96","296.18","298.46","291.91","4.25M","-0.94%"
"12/22/2022","297.75","298.09","298.88","290.81","7.86M","-0.07%"
"12/21/2022","297.96","289.99","300.66","286.50","6.38M","3.39%"
"12/20/2022","288.19","281.24","289.28","280.81","6.92M","-0.04%"
"12/19/2022","288.30","289.73","292.25","286.13","6.16M","-0.83%"
"12/16/2022","290.71","288.76","294.72","288.70","14.08M","0.10%"
"12/15/2022","290.41","302.12","303.39","286.55","17.72M","-8.63%"
"12/14/2022","317.83","318.97","324.71","314.42","7.54M","-0.78%"
"12/13/2022","320.34","328.00","332.72","317.20","10.76M","1.64%"
"12/12/2022","315.18","320.00","323.18","308.85","10.15M","-1.51%"
"12/09/2022","320.01","321.45","329.00","319.52","14.36M","3.14%"
"12/08/2022","310.26","309.11","312.38","304.81","7.21M","0.60%"
"12/07/2022","308.42","306.50","309.61","302.10","7.82M","0.94%"
"12/06/2022","305.56","311.00","313.22","303.13","7.20M","-2.25%"
"12/05/2022","312.59","316.46","322.77","310.92","8.42M","-2.44%"
"12/02/2022","320.41","310.49","321.99","310.00","12.69M","1.09%"
"12/01/2022","316.95","303.99","319.80","303.03","14.66M","3.74%"
"11/30/2022","305.53","281.37","308.26","280.41","16.07M","8.75%"
"11/29/2022","280.96","282.50","282.96","275.94","5.79M","-0.07%"
"11/28/2022","281.17","284.00","289.55","280.53","4.71M","-1.53%"
"11/25/2022","285.54","289.00","289.21","284.17","3.24M","-2.04%"
"11/23/2022","291.50","285.91","292.47","283.76","5.92M","1.68%"
"11/22/2022","286.69","284.99","286.98","277.34","6.25M","0.58%"
"11/21/2022","285.05","291.00","291.87","282.66","7.26M","-1.02%"
"11/18/2022","287.98","297.33","298.00","287.00","8.40M","-2.47%"
"11/17/2022","295.28","294.72","299.82","291.00","9.84M","-3.51%"
"11/16/2022","306.02","309.94","310.49","303.61","8.04M","-1.35%"
"11/15/2022","310.20","309.20","312.71","302.55","14.63M","3.65%"
"11/14/2022","299.27","290.00","311.00","288.19","17.97M","3.15%"
"11/11/2022","290.13","274.47","290.66","271.56","9.57M","5.51%"
"11/10/2022","274.97","265.99","275.36","260.09","9.67M","7.98%"
"11/09/2022","254.66","259.66","260.90","254.22","7.27M","-3.34%"
"11/08/2022","263.46","259.92","266.08","256.88","7.68M","1.88%"
"11/07/2022","258.60","261.06","261.15","252.09","7.93M","-0.84%"
"11/04/2022","260.79","272.02","274.97","255.32","11.12M","-3.07%"
"11/03/2022","269.06","271.25","276.29","268.80","7.06M","-1.44%"
"11/02/2022","273.00","286.40","287.33","272.84","10.37M","-4.80%"
"11/01/2022","286.75","296.17","299.70","286.42","6.92M","-1.76%"
"10/31/2022","291.88","295.13","297.62","289.50","7.51M","-1.30%"
"10/28/2022","295.72","297.70","301.19","292.29","9.96M","-0.41%"
"10/27/2022","296.94","298.33","305.21","294.78","14.61M","-0.56%"
"10/26/2022","298.62","290.04","305.63","288.04","15.75M","2.61%"
"10/25/2022","291.02","286.95","297.59","285.55","15.10M","3.03%"
"10/24/2022","282.45","290.23","290.49","280.36","13.33M","-2.46%"
"10/21/2022","289.57","268.95","290.75","265.68","24.89M","7.98%"
"10/20/2022","268.16","272.78","278.38","266.38","17.21M","-1.55%"
"10/19/2022","272.38","265.00","279.30","262.66","46.69M","13.09%"
"10/18/2022","240.86","249.80","250.37","237.73","25.78M","-1.73%"
"10/17/2022","245.10","234.41","249.92","234.40","21.06M","6.57%"
"10/14/2022","230.00","237.80","238.80","229.51","15.29M","-1.08%"
"10/13/2022","232.51","212.69","234.47","211.73","17.51M","5.27%"
"10/12/2022","220.87","214.30","223.67","212.64","12.95M","3.07%"
"10/11/2022","214.29","226.05","230.44","213.70","15.28M","-6.82%"
"10/10/2022","229.98","225.64","233.83","224.23","9.99M","2.33%"
"10/07/2022","224.75","235.77","237.33","224.28","9.81M","-6.36%"
"10/06/2022","240.02","236.68","244.28","233.91","9.19M","1.39%"
"10/05/2022","236.73","238.76","241.59","227.38","10.83M","-1.67%"
"10/04/2022","240.74","244.84","245.80","233.25","13.93M","0.71%"
"10/03/2022","239.04","237.85","241.54","232.85","8.66M","1.53%"
"09/30/2022","235.44","237.00","242.44","233.26","11.85M","-1.78%"
"09/29/2022","239.71","241.61","246.98","235.68","18.99M","-2.24%"
"09/28/2022","245.20","229.69","246.65","227.38","17.58M","9.29%"
"09/27/2022","224.36","228.63","230.64","220.72","7.76M","0.13%"
"09/26/2022","224.07","225.60","232.70","223.01","8.23M","-1.03%"
"09/23/2022","226.41","235.14","236.45","221.43","11.21M","-4.49%"
"09/22/2022","237.05","235.35","240.50","231.66","10.02M","0.08%"
"09/21/2022","236.87","242.67","248.30","236.68","9.17M","-2.46%"
"09/20/2022","242.85","240.37","250.49","239.66","16.04M","-0.32%"
